"year","ID","Scenario","variable","value"
0,"1538394453917","Baseline","COPD2pc",0
1,"1538394453917","Baseline","COPD2pc",11.437847040076
2,"1538394453917","Baseline","COPD2pc",11.5222834746979
3,"1538394453917","Baseline","COPD2pc",11.6103238065078
4,"1538394453917","Baseline","COPD2pc",11.7051393728223
5,"1538394453917","Baseline","COPD2pc",11.7234895343659
6,"1538394453917","Baseline","COPD2pc",11.8279782501236
7,"1538394453917","Baseline","COPD2pc",11.8922873129164
8,"1538394453917","Baseline","COPD2pc",11.9576385047024
9,"1538394453917","Baseline","COPD2pc",12.0611199399856
10,"1538394453917","Baseline","COPD2pc",12.0285392859258
11,"1538394453917","Baseline","COPD2pc",12.0787845347417
12,"1538394453917","Baseline","COPD2pc",12.078205343308
13,"1538394453917","Baseline","COPD2pc",12.0693735087062
14,"1538394453917","Baseline","COPD2pc",12.0485727803186
15,"1538394453917","Baseline","COPD2pc",11.9840541527289
16,"1538394453917","Baseline","COPD2pc",11.9988166847451
17,"1538394453917","Baseline","COPD2pc",11.9904620205145
18,"1538394453917","Baseline","COPD2pc",12.0210123787747
19,"1538394453917","Baseline","COPD2pc",12.010253376713
20,"1538394453917","Baseline","COPD2pc",11.9151117288149
21,"1538394453917","Baseline","COPD2pc",11.8203589273571
22,"1538394453917","Baseline","COPD2pc",11.6795148221441
23,"1538394453917","Baseline","COPD2pc",11.4607117549799
24,"1538394453917","Baseline","COPD2pc",11.3445295426355
25,"1538394453917","Baseline","COPD2pc",11.1662873301607
26,"1538394453917","Baseline","COPD2pc",10.9925377542381
27,"1538394453917","Baseline","COPD2pc",10.7912819200252
28,"1538394453917","Baseline","COPD2pc",10.5584925721374
29,"1538394453917","Baseline","COPD2pc",10.3432008491567
30,"1538394453917","Baseline","COPD2pc",10.1138857992184
31,"1538394453917","Baseline","COPD2pc",9.87132063592004
32,"1538394453917","Baseline","COPD2pc",9.61958768976313
33,"1538394453917","Baseline","COPD2pc",9.34260143550563
34,"1538394453917","Baseline","COPD2pc",9.12706225144702
35,"1538394453917","Baseline","COPD2pc",8.8169993712669
36,"1538394453917","Baseline","COPD2pc",8.6278719360271
37,"1538394453917","Baseline","COPD2pc",8.44033083891296
38,"1538394453917","Baseline","COPD2pc",8.24907703667241
39,"1538394453917","Baseline","COPD2pc",8.02142723503983
40,"1538394453917","Baseline","COPD2pc",7.83879321379691
41,"1538394453917","Baseline","COPD2pc",7.64241565292705
42,"1538394453917","Baseline","COPD2pc",7.52570510355978
43,"1538394453917","Baseline","COPD2pc",7.41237103243036
44,"1538394453917","Baseline","COPD2pc",7.26530692717934
45,"1538394453917","Baseline","COPD2pc",7.14504027527187
46,"1538394453917","Baseline","COPD2pc",7.08416261059767
47,"1538394453917","Baseline","COPD2pc",6.93929347879551
48,"1538394453917","Baseline","COPD2pc",6.80665399426787
49,"1538394453917","Baseline","COPD2pc",6.64594434576673
0,"1538394454276","Baseline","COPD2pc",0
1,"1538394454276","Baseline","COPD2pc",11.3035046405319
2,"1538394454276","Baseline","COPD2pc",11.333135391924
3,"1538394454276","Baseline","COPD2pc",11.394697516997
4,"1538394454276","Baseline","COPD2pc",11.394697516997
5,"1538394454276","Baseline","COPD2pc",11.4700124577327
